"EQID","STATID","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude","X_ev","Y_ev","X_stat","Y_stat"
5,139,4.36,16.6868211472407,14.3,"SS",808.766585,7.3982015,43.6058,11.2405,43.478798,11.269104,196.586121351594,4834.96195721322,198.261115302662,4820.75148319365
5,140,4.36,85.4339510967391,85,"SS",785.398546,0.433117,43.6058,11.2405,43.9543,10.3012,196.586121351594,4834.96195721322,122.973082087085,4877.53987653849
5,141,4.36,134.275686555683,134,"SS",359.259753,0.3524555,43.6058,11.2405,44.7823,10.8703,196.586121351594,4834.96195721322,173.283879556093,4967.06842939667
5,142,4.36,100.169855745129,99.8,"SS",541.,0.2560805,43.6058,11.2405,44.137005,12.241408,196.586121351594,4834.96195721322,279.339217897913,4890.79049592799
5,143,4.36,68.541666160081,68,"SS",890.927262,0.33631,43.6058,11.2405,42.994091,11.282305,196.586121351594,4834.96195721322,196.932614506719,4766.868468234
5,144,4.36,93.3967879533338,93,"SS",292.,0.3298025,43.6058,11.2405,44.298016,11.890746,196.586121351594,4834.96195721322,251.966333250357,4909.6761976529
5,145,4.36,16.2603812993423,13.8,"SS",760.900725,9.4940855,43.6058,11.2405,43.601456,11.411619,196.586121351594,4834.96195721322,210.376479936907,4833.86782389802
5,146,4.36,24.3680118187759,22.8,"SS",765.918906,3.26342,43.6058,11.2405,43.807251,11.294385,196.586121351594,4834.96195721322,201.936596079996,4857.14198594109
5,147,4.36,149.247981560891,149,"SS",351.495505,0.038466,43.6058,11.2405,43.0263,12.896506,196.586121351594,4834.96195721322,328.618098826443,4765.88247275214
5,148,4.36,60.1183000424995,59.5,"SS",985.604174,1.0451245,43.6058,11.2405,44.12928,11.39785,196.586121351594,4834.96195721322,211.822659756553,4892.5435299562
5,149,4.36,140.363706135169,140.1,"SS",929.25549,0.0388765,43.6058,11.2405,42.803818,12.570145,196.586121351594,4834.96195721322,301.312927718572,4741.89312148416
5,150,4.36,82.4497422676384,82,"SS",568.,0.3671825,43.6058,11.2405,43.994366,12.107441,196.586121351594,4834.96195721322,268.066112523928,4875.31535521875
5,151,4.36,194.789938138498,194.6,"SS",800.,0.0098965,43.6058,11.2405,42.249229,12.748319,196.586121351594,4834.96195721322,314.245898375026,4679.90320608595
5,152,4.36,52.7063563529106,52,"SS",582.880396,1.782802,43.6058,11.2405,43.139698,11.182792,196.586121351594,4834.96195721322,189.556274278695,4783.40483597501
5,153,4.36,59.3266381990418,58.7,"SS",914.89069,2.7924935,43.6058,11.2405,44.064131,11.603387,196.586121351594,4834.96195721322,227.967664033698,4884.60687318199
5,154,4.36,28.2412818405964,26.9,"SS",330.912386,6.497782,43.6058,11.2405,43.533335,11.558596,196.586121351594,4834.96195721322,221.926340443103,4825.79911440028
5,155,4.36,49.5519928963508,48.8,"SS",850.675445,3.0452955,43.6058,11.2405,43.989647,10.944552,196.586121351594,4834.96195721322,174.791667216112,4878.72331363655
5,156,4.36,19.4092761328186,17.4,"SS",579.014975,10.8708805,43.6058,11.2405,43.490568,11.385548,196.586121351594,4834.96195721322,207.736117205053,4821.64279682548
5,157,4.36,119.509832231495,119.2,"SS",690.681372,0.1572715,43.6058,11.2405,43.873901,12.6739,196.586121351594,4834.96195721322,313.110376047356,4860.49749976978
5,158,4.36,62.4945597632306,61.9,"SS",948.140989,0.7026235,43.6058,11.2405,44.064114,10.803726,196.586121351594,4834.96195721322,163.919849832698,4887.56081224812
5,159,4.36,56.4588345611207,55.8,"SS",486.,0.843221,43.6058,11.2405,43.908112,11.794457,196.586121351594,4834.96195721322,242.596834556264,4866.66337490951
5,160,4.36,65.8638747721389,65.3,"SS",456.,1.254526,43.6058,11.2405,43.94245,11.905042,196.586121351594,4834.96195721322,251.620147887633,4870.13843451129
